email,company,country,city,website,contract_value,sector,suppliers
floristhornanbro@gmail.com,Floristhörnan i Bro AB,SWE,Bro,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
francisco@pescadoslavilla.es,"PESCADOS LAVILLA, S.A.",ESP,Logroño,,550998,shrimp,"Ecuador (Santa Priscila, Omarsa)"
frans.heller@hanssons.com,Bröderna Hanssons i Göteborg Export AB,SWE,GÖTEBORG,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
frederique.montagne@jsfournitures.com,JARDIN SERVICES FOURNITURES JSF,FRA,Gavray-Sur-Sienne,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
fredrik@fritzblommor.se,Fritz Blommor Aktiebolag,SE,HALMSTAD,http://www.fritzblommor.se,2400000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
frigorsa@frigorsa.es,"FRIGORIFICOS ORTIZ, S.A.",ESP,Santander,,139280.55,shrimp,"Ecuador (Santa Priscila, Omarsa)"
fruktusfirma@vp.pl,F.H. FRUKTUS Banaś Sp. j.,POL,Kraków,,2524417.47,shrimp,"Ecuador (Santa Priscila, Omarsa)"
gaertnerei-schwarz@t-online.de,Gärtnerei Schwarz,DEU,Nürnberg,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
gallygrandouest@gally.com,JARDINS DE GALLY GRAND OUEST,FRA,Le Bignon,,214000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
garden.ingre@gardenarrosage.com,GARDEN ARROSAGE,FRA,Ingre,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
garden@molltorp.com,Molltorps Vaxtinredningar Aktiebolag,SE,Molltorp,,2000000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
gartenbau-neidhardt@gmx.de,Gartenbau Neidhardt GbR,DE,Zwenkau,,0.01,shrimp,"Ecuador (Santa Priscila, Omarsa)"
gaube@plandanjou.com,Plandanjou,FRA,les Ponts de CE,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
g.delapierre@pve44.fr,Pépinières du Val d'Erdre,FRA,Saint Mars du Desert,,580000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
geral@apoveira.pt,"FÁBRICA DE CONSERVAS A POVEIRA, S.A",PRT,Póvoa de Varzim,,3151462.6,shrimp,"Ecuador (Santa Priscila, Omarsa)"
gert.andersson@nordward.com,Fisk i dag i Goteborg AB,SE,GOTEBORG,http://www.fiskidag.se,24000000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
gg-nm.uprava@siol.net,GOZDNO GOSPODARSTVO NOVO MESTO d.d.,SVN,Novo mesto,,159775.1300,shrimp,"Ecuador (Santa Priscila, Omarsa)"
gombik@storge.sk,Storge SK s. r. o.,SVK,Bratislava - mestská časť Ružinov,,121092,shrimp,"Ecuador (Santa Priscila, Omarsa)"
gote@lota.se,Löta Trädskolor AB,SWE,Ärla,,5000000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
granbis_cta@yahoo.com,GRANBIS,RO,Constanta,www.granbis.ro,73100.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
gregoire.huin@huin-appro-green.fr,HUIN APPRO GREEN,FRA,LA BOURGONCE,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
gunilla.nilsson@splendorplant.se,Splendor Plant Aktiebolag,SWE,JONSTORP,,45000000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
gustav@essungaplantskola.se,Essunga Plantskola AB,SWE,Nossebro,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
hakan@buketten.se,Umeåbuketten Aktiebolag,SWE,UMEÅ,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
hakan@veabtrg.se,VEAB Mark & Trädgård Aktiebolag,SWE,GÖTEBORG,,45000000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
handel@polaris.kalisz.pl,Przedsiębiorstwo Produkcyjno-Handlowe „Polaris” Małgorzata Gruszczyńska,POL,Kalisz,,2524417.47,shrimp,"Ecuador (Santa Priscila, Omarsa)"
hanna-stina.lepik@kaupmees.ee,Aktsiaselts Kaupmees & Ko,EE,Tallinn,,689911.2,shrimp,"Ecuador (Santa Priscila, Omarsa)"
heidi.ikonen@tuomi.fi,Kesko Oyj Kespro,FIN,Helsinki,,4000000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
hellin@hellin.eu,OÜ Balt-Hellin,EST, Tartu linn,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
henrik.fiskdelikatesser@telia.com,AB HH Fiskdelikatesser,SWE,Leksand,,3000000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
herrhagensblommor@gmail.com,Herrhagens Blomsterhandel Aktiebolag,SE,Karlstad,,3000000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
hildebrandt@forstbaumschule.eu,Forstbaumschulen Fürst Pückler Zeischa GmbH,DEU,Zeischa,,0.01,shrimp,"Ecuador (Santa Priscila, Omarsa)"
hnosmesones@hnosmesones.com,DISTRIB. FRIGOR. HNOS. MESONES S.L.,ESP,Maliaño,,139280.55,shrimp,"Ecuador (Santa Priscila, Omarsa)"
hortyfumel@wanadoo.fr,HORTY FUMEL,FRA,FUMEL,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
idris@jardinservices.fr,SARL Jardin Services Vegetaux,FR,Hambye,,0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
ildi_paul@yahoo.com,PAUL FLOWERS S.R.L.,ROU,Lopadea Noua,,1200000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
imgone4@gmail.com,Järveotsa Vutifarm OÜ,EST, Peipsiääre vald,,532199.45,shrimp,"Ecuador (Santa Priscila, Omarsa)"
ina.hagel@mestergronn.no,Mester Grønn AS,NOR,Lierskogen,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@9jardi.com,"Nou Jardi 2000, S. L.",ES,Banolas,,221000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@abies-decor.fr,ABIES DECOR,FRA,SEPEAUX,,600000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@ahosentaimisto.fi,Ahosen Taimisto Oy,FIN,Karstula,,420000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@alecoq.ee,aktsiaselts A. Le Coq,EST, Tartu linn,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@ampol-merol.pl,AMPOL-MEROL Sp. z o.o.,POL,Wąbrzeźno,,498369,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@asseco.pl,Asseco Poland S.A.,POL,Rzeszów,https://pl.asseco.com/,1767974,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@astablommor.se,FLORA-ASTA AKTIEBOLAG,SE,VAXJO,http://www.astablommor.se,4000000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@baumbonheur.com,Baum & Bonheur GmbH,DEU,Nettetal,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@beglobal.nl,BeGlobal B.V.,NLD,Waddinxveen,http://www.beglobal.nl,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@billbacks.se,Billbäcks Plantskola Aktiebolag,SWE,SVÄRTINGE,,45000000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@blaklintensoderhamn.se,Blaklinten i Soderhamn AB,SE,Soderhamn,,4800000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@blomsterfrojd.se,Blomsterfröjd Inredningar AB,SWE,Åkersberga,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@blomsterkrysset.se,Blomsterkrysset AB,SWE,KALMAR,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@brucker-landschaftsbau.de,Brucker Landschaftsbau GmbH,DEU,Malterdingen,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@bruns.de,Bruns Pflanzen GmbH&Co KG,DEU,Bad Zwischenahn,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@cernic.si,"ČERNIČ TEAM storitve, proizvodnja d.o.o.",SVN,Ljubljana,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@conso-louis.fr,CONSO JACQUES,FRA,NICE,http://www.marches-securises.fr,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@contrast.si,CONTRAST družba za trgovino na debelo in storitve d.o.o.,SVN,Miklavž na Dravskem polju,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@cvetobale.si,"CVET OBALE d.o.o., trgovina na debelo s cvetjem",SVN,Koper - Capodistria,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@de-klerk.nl,Interieurbeplanting De Klerk B.V.,NLD,Veldhoven,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@deseo.be,Deseo plants,BEL,Jabbeke,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@dezonnebloem-delft.nl,De Zonnebloem,NLD,delft,,500000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@ebben.nl,Ebben B.V.,NL,Cuijk,,97420.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@eestileib.ee,AS Eesti Leivatööstus,EST, Tartu linn,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@eestipagar.ee,AS Eesti Pagar,EST, Paide linn,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@eksomeat.ee,EKSO Meat OÜ,EST, Põlva vald,,532199.45,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@entreevertholland.de,Entree Vert Holland,NLD,Noordwijk,http://www.entreevertholland.de,289310.12,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@entreevert.nl,Entree Vert Holland,NLD,Noordwijk ZH,,281255.12,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@eriksbo-plantskola.se,Nya Eriksbo Plantskola AB,SE,KOPING,,2000000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@e-sander.de,E. Sander GmbH Baumschulen,DEU,Tornesch,,0.01,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@fairfood.ee,Fairfood OÜ,EST, Tallinn,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@fanfelle-gaussens.fr,SCEA FANFELLE-GAUSSENS,FRA,GELOS,,744000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@flowerandshower.de,Flower and Shower GmbH,DEU,Kleve,http://www.flowerandshower.de,289310.12,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@flyingeplantshop.se,Flyinge Plantshop,SWE,Flyinge,,5500000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@foodexpert.ee,FOODEXPERT OÜ,EST, Tallinn,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@frezija.lt,"Uždaroji akcinė bendrovė ""FREZIJŲ PUOKŠTĖ""",LTU,Klaipėda,,326137.02,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@geliuburtai.lt,Gėlių burtai,LTU,Vilnius,www.geliuburtai.lt,175692.00,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@horecaservice.ee,HORECA SERVICE OÜ,EST, Pärnu linn,,532199.45,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@hortibreiz.fr,HORTIBREIZ,FRA,Caudan,,171030.1,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@hsbaum.de,HS Baum GmbH,DEU,Ellerbek,,0.01,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@huser-gaertnerei.ch,Gärtnerei Huser GmbH,CHE,Auw,,3721608.70,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@karia.ee,osaühing KARIA,EST, Rae vald,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@lappen.de,Pflanzenhandel Lappen Inh. Christian Lappen e. K,DE,Nettetal,,260255.1,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@leigiv.ee,osaühing LEIGIV,EST, Rae vald,,70266.25,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@levandeinterior.se,Levande interiör,SWE,Ängelholm,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@ljunghsblommor.se,Ljungh s Blommor,SE,GOTEBORG,http://www.ljunghsblommor.se,4000000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@maiznieks.lv,"Akciju sabiedrība ""LATVIJAS MAIZNIEKS""",LVA,Daugavpils,,20228.78,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@maldivar.ee,OÜ MALDIVAR,EST, Elva vald,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@mardesic.hr,MARDEŠIĆ d.o.o.,HRV,Sali,https://www.mardesic.hr,260000.00,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@megaplantas.eu,"UAB ""Megaplantas""",LTU,"Genaičių k., Klaipėdos raj. sav.",,287107.43,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@montegiro.hr,Vita flos d.o.o.,HRV,Kastav,,219895.74,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@paulig.ee,Paulig Estonia AS,EST, Tallinn,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@pec.torsanlorenzo.com,TORSANLORENZO SOCIETA' AGRICOLA A R.L.,ITA,Pomezia,,182265.10,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@plandajou.com,PLANDANJOU,FRA,Les Ponts-De-Ce,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@plandanjou.com,SA PLANDANJOU,FRA,LES PONTS DE CE,,600000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@rannapuura.ee,Osaühing Kallaste Kalur,EST, Peipsiääre vald,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@rannarootsi.ee,AS Rannarootsi Lihatööstus,EST, Lääne-Nigula vald,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@ripaudpepinieres.com,SAS PEPINIERES RIPAUD,FRA,CHEFFOIS,,675600,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@rulouridegazon.ro,RULOURI DE GAZON,RO,Sabareni,www.rulouridegazon.ro,1871900.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@ruokomestarit.com,Ruokomestarit - Premium Finnish Reed Oy,FIN,PORVOO,,480000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@sanitex.eu,"""Sanitex"" SIA",LVA,Ķekavas pag.,,27319.86,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@saveplantskola.se,Säve Plantskola AB,SWE,SÄVE,,45000000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@solrosenstuvsta.se,Saras Blomsterateljé i Stuvsta AB,SWE,Huddinge,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
Info@solrosenstuvsta.se,Saras Blomsterateljé i Stuvsta AB,SWE,TULLINGE,,4400000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@terradis.fr,TERRADIS,FRA,Hazebrouck,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@topagro.hr,TOP AGRO d.o.o.,HRV,Osijek,,58959.00,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@topbloemen.nl,Topgeschenken Nederland b.v.,NLD,Hoofddorp,,500000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@tvablommor.se,Tva Blommor AB,SE,TVAAKER,,2450000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@voscapelle.nl,Joh. Vos Capelle B.V.,NLD,SPRANG-CAPELLE,http://www.voscapelle.nl,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@xerrisgardencentre.com,Xerri's Landscaping Co. Ltd,MT,Rabat Gozo,https://www.etenders.gov.mt/epps,131100.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
info@zoo-trhon.cz,TRHOŇ ZooFoods s.r.o.,CZE,Rataje nad Sázavou,,5873353.2,shrimp,"Ecuador (Santa Priscila, Omarsa)"
inmedia@inmedia.sk,"INMEDIA, spol. s r.o.",SVK,Zvolen,,35328.00,shrimp,"Ecuador (Santa Priscila, Omarsa)"
innendienst@miesbacher-gastroservice.de,Miesbacher Gastroservice GmbH,DEU,Miesbach,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
interflora@41131gbg.se,Douglas Odsvik,SE,GOTEBORG,,4000000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
interflora@interflora.no,Interflora-Norge SA,NOR,BILLINGSTAD,,30000000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
interflora@kallhallsblommor.se,KALLHÄLLS BLOMSTERHANDEL AKTIEBOLAG,SWE,JÄRFÄLLA,,4400000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
ionescu_marioara1975@yahoo.com,GRUP DE PRODUCATORI PROLEG SLOBOZIA MOARA COOPERATIVA AGRICOLA,RO,Slobozia Moara,www.grupproducatori.ro,1995542.55,shrimp,"Ecuador (Santa Priscila, Omarsa)"
jaagup@valsovorse.ee,Valso Võrse OÜ,EST, Otepää vald,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
janis@pyss.ee,OÜ Jancis,EST, Kambja vald,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
janna@florine.no,Lille Florine AS,NOR,2050,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
jan.palm@foretagsvaxter.com,Företagsväxter i Knivsta AB,SWE,Knivsta,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
jardinerieboisdusart@wanado.fr,Jardinerie du bois du sart,FRA,Harbonnieres,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
jardinetpelouse@orange.fr,JARDINS ET PELOUSES,FRA,PIGNAN,https://santamaria-motoculture.fr,506000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
jarle.hustveit@domstein.no,Domstein Sjømat AS,NOR,Kjeller,,8700000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
javna.nabava@zagreb.hr,Podravka,HRV,Koprivnica,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
jc@verdialglplantas.es,VERDIAL GL PLANTAS SL,ESP,TOMARES,,28542.03,shrimp,"Ecuador (Santa Priscila, Omarsa)"
jere.kuuras@tieluiska.fi,Tieluiska Oy,FIN,HYVINKÄÄ,,480000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
jmd@sapin-jmd.com,JURA MORVAN DECORATIONS,FRA,Montpellier,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
joakim.s@vaxtkraft.se,Växtkraft i Skåne Tranås AB,SWE,Skåne-Tranås,,1645818,shrimp,"Ecuador (Santa Priscila, Omarsa)"
johan@essungaplantskola.se,Essunga Plantskola AB,SWE,Nossebro,,15000000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
johan@levandeinterior.se,"Levande Interiör, Sverige Aktiebolag",SWE,Ängelholm,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
joost@pimmsolutions.nl,PIMM Solutions B.V.,NLD,Rotterdam,https://www.pimmsolutions.nl,220000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
jorgen@stangby.nu,Stangby Plantskola AB,SE,Lund,,5000000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
jozefhlavaty.firma@gmail.com,Jozef Hlavaty,SK,Galanta,,615000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
jroumagnac@arterris.fr,MAISAGRI,FRA,Cordes-Tolosannes,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
jussi.hamalainen@huiskula.fi,Huiskula Oy,FIN,Turku,,420000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
jussi.kankainen@kekkila.fi,Kekkilä Oy,FIN,Vantaa,,480000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
justyna.skiczynska@unifreeze.com.pl,UNIFREEZE SP. Z O.O.,POL,Górzno,https://unifreeze.com.pl/,2525331.32,shrimp,"Ecuador (Santa Priscila, Omarsa)"
jutta@kukkakauppatahka.fi,Kukkakauppa Tähkä,FIN,Turku,,350000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
kai@pimmsolutions.nl,PIMM Solutions b.v.,NLD,Rotterdam,,500000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
kalle.grandell@flyingeplantshop.se,Flyinge Plantshop AB,SWE,Södra Sandby,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
kardo@wikmani.ee,Wikmani LT OU,EE,Tallinn,,689911.2,shrimp,"Ecuador (Santa Priscila, Omarsa)"
karine.kerneis@groupelasource.fr,LA SOURCE BRETAGNE,FRA,Plouenan,,171030.1,shrimp,"Ecuador (Santa Priscila, Omarsa)"
karolina.slowikowska@gruparen.pl,REN Sp. z o.o.,POL,Marki,,473062,shrimp,"Ecuador (Santa Priscila, Omarsa)"
katarzyna.debska@nexio.pl,Nexio Management Sp. z o.o.,POL,Warszawa,,2617431.39,shrimp,"Ecuador (Santa Priscila, Omarsa)"
katarzyna.kurczewska-spychala@tzmo-global.com,TORUŃSKIE ZAKŁADY MATERIAŁOW PATRUNKOWYCH S.A.,POL,Toruń,,1368375,shrimp,"Ecuador (Santa Priscila, Omarsa)"
kaupmees@kaupmees.ee,Aktsiaselts Kaupmees & Ko,EST, Tallinn,,532199.45,shrimp,"Ecuador (Santa Priscila, Omarsa)"
kcblommor@telia.com,KC Blommor,SWE,Lund,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
kenneth@buketten-boras.com,Vildbuketten i Borås AB,SWE,BORÅS,,400000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
kohvik@kohvik.ut.ee,OÜ Restoran Ülikooli kohvik,EST, Tartu linn,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
kontakt@frontida.com.pl,Frontida Sp. z o. o.,POL,Kraków,,5078572.32,shrimp,"Ecuador (Santa Priscila, Omarsa)"
kontakt@vesti.waw.pl,Vesti Sławomir Żemojć,POL,Warszawa,,379450.09,shrimp,"Ecuador (Santa Priscila, Omarsa)"
kontakt@yarrl.pl,yarrl Spóła Akcyjna,POL,Kraków,https://www.yarrl.pl/,6382494.6,shrimp,"Ecuador (Santa Priscila, Omarsa)"
krakow@cezal.com.pl, CENTRUM ZAOPATRZENIA MEDYCZNEGO „CEZAL” S.A. WROCŁAW ODDZIAŁ KRAKÓW,POL,Kraków,,2071168.9,shrimp,"Ecuador (Santa Priscila, Omarsa)"
kretschmar@forstbaum.de,"Lürssen Baumschulen GmbH & Co. KG, Standort Großthiemig",DEU,Großthiemig,,0.01,shrimp,"Ecuador (Santa Priscila, Omarsa)"
ksiegowosc@imperialkolobrzeg.pl,"""IMPERIAL-KOŁOBRZEG"" SP. Z O.O.",POL,Kołobrzeg,http://imperialkolobrzeg.pl,1632625,shrimp,"Ecuador (Santa Priscila, Omarsa)"
kukkamaaria.info@gmail.com,Taito-Maaria Oy  Kukka-Maaria,FIN,Oulu,,320000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
lafittedominique@orange.fr,LAFITTE*DOMINIQUE/,FRA,Albias,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
lafleur.varberg@telia.com,Blomsterbinderi La Fleur i Varberg AB,SE,VARBERG,,2450000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
lakifruit@inbox.lv,"Sabiedrība ar ierobežotu atbildību ""LAKI FRUIT""",LVA,Rīga,,356438.33,shrimp,"Ecuador (Santa Priscila, Omarsa)"
laurent.sejourne@maisonbarrault.com,SARL BARRAULT HORTICULTURE,FRA,LA POSSONNIERE,,744000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
le.haba@equipjardin.com,EQUIP JARDIN ILE DE FRANCE,FRA,Linas,,280000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
leonie@lve.de,Pflanzenhandel Lorenz von Ehren GmbH & Co. KG,DEU,Hamburg,,45000000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
lesk@lesk.si,"LESK, galanterija in trgovina, d.o.o., Frankolovo 14 f",SVN,Frankolovo,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
lessaveursdemassalia@gmail.com,Les Saveurs de Massalia (Total des points obtenus pour cette offre : 88.28/100),FRA,Marseille 14,,79800,shrimp,"Ecuador (Santa Priscila, Omarsa)"
levegetal.haas@orange.fr,HAAS LE VEGETAL,FRA,Le Neubourg,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
licitaciones.jardines@sav.es,S.A. AGRICULTORES DE LA VEGA DE VALENCIA,ESP,València,,240331.65,shrimp,"Ecuador (Santa Priscila, Omarsa)"
licitaciones@plantasdelevante.com,PLANTAS DE LEVANTE SL,ESP,ROQUETAS DE MAR,,1800000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
licitatii@olymel.ro,OLYMEL FLAMINGO FOOD S.R.L.,RO,Bucuresti,www.domeniu.ro,245222.95,shrimp,"Ecuador (Santa Priscila, Omarsa)"
lihavyrst@lihavyrst.ee,osaühing NÕO LIHATÖÖSTUS,EST, Nõo vald,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
linda@hotellmartenson.se,Hotellet i Halmstad AB,SE,STOCKHOLM,,2400000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
lindens.kalmar@gmail.com,Lindéns Blomsterhandel Ola Jacobsson AB,SWE,KALMAR,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
linnea@norrmalarstrandsblommor.se,Norr Mälarstrands Blommor Aktiebolag,SWE,Stockholm,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
liviko@liviko.ee,Aktsiaselts LIVIKO,EST, Tallinn,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
lorberg@lorberg.com,H. Lorberg Baumschulerzeugnisse GmbH & Co KG,DE,Ketzin OT Tremmen,,97420.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
louberret@wanadoo.fr,LOU BERRET (Total de spoints obtenus pour cette offre 97.68/100),FRA,Montataire,,79800,shrimp,"Ecuador (Santa Priscila, Omarsa)"
mabonex@mabonex.sk,Mabonex Slovakia spol. s r.o.,SK,Piestany,,4815.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
madalina_dumitru90@yahoo.com,ELCOMER ACHIZITII,RO,Nicolesti,www.elcomer.ro,73100.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
magnus.holm@pmhotel.se,PM & Vanner Flora AB,SE,VAXJO,,4000000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
maguy.sa@wanadoo.fr,SAS Etablissements horticoles Maguy,FRA,Chaniers,,580000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
maire.niit@otepaalt.ee,OÜ OTEPÄÄ LIHATÖÖSTUS EDGAR,EST, Otepää vald,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
malin@blombruket.se,Blombruket AB,SWE,KALMAR,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
marchepublic@groupesee.com,SEE GUILLEBERT ,FRA,RONCHIN ,,1080000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
marches.publics@invivo-group.com,SOUFFLET VIGNE,FRA,Villefranche sur Saone,,28320000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
marches-publics@sportgroup.fr,SPORT PRO GROUP,FRA,La Ciotat,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
marchespublics@ververexport.nl,VERVER EXPORT BV,NLD,Heerhugowaard,,600000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
marches@smda-sas.fr,SMDA,FRA,Trappes,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
marches.turc@ernest-turc.fr,ERNEST TURC,FRA,ANGERS,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
